"","i","mean_dist_to_grocery","median_dist_to_grocery","max_dist_to_grocery","min_dist_to_grocery","quartiles_dist_to_grocery_25p","quartiles_dist_to_grocery_50p","quartiles_dist_to_grocery_75p","n_from_pnts","n_from_pnts_no_path"
"408",408,441.295916487084,456.878837735027,762.447725030573,49.8233137222606,340.125024311374,456.878837735027,564.974125898716,32,0
"409",409,583.904337468337,558.065452181318,993.313228591164,255.343301020236,396.39485812712,558.065452181318,801.465857939713,32,0
"410",410,787.712140494993,804.442824479495,1104.63040427613,326.259575022806,631.12091608291,804.442824479495,969.357155276714,36,0
"411",411,1385.087264175,1360.77124356925,2770.13656073852,322.197147543596,1096.19360882718,1360.77124356925,1651.73703947317,104,0
"412",412,1210.78604847184,1288.14796206751,1865.50976527823,260.543023051286,953.886710034812,1288.14796206751,1453.8154659845,112,0
"413",413,1304.53268021272,1333.60676333497,1778.76745586825,591.693845060994,1132.77975528035,1333.60676333497,1499.84955831406,206,0
"414",414,1047.79119972193,1043.78064170606,1411.45079838302,638.91450342137,930.183842807551,1043.78064170606,1175.29815746021,32,0
"415",415,961.677034326556,986.806718733861,1347.3560461377,413.831369838311,817.024454275645,986.806718733861,1129.15442598007,50,0
"416",416,644.639814306348,631.849751241981,1332.79967306902,0,360.49483567412,631.849751241981,894.304593876717,74,0
"417",417,690.906788005134,637.922084059368,991.033408089383,435.587725088405,530.476064210777,637.922084059368,870.716547869619,6,0
"418",418,453.623397903593,407.256910203707,831.085908974415,35.2485257008433,334.034867542512,407.256910203707,604.997702525231,12,0
"419",419,574.675669588337,561.837405685975,1203.5838083976,79.6599896378434,392.325369654093,561.837405685975,761.643713417713,39,0
"420",420,1373.57034331126,1053.94520307116,5800.86620177797,242.676823321466,781.932173372534,1053.94520307116,1404.42108317233,136,0
"421",421,1847.51999578265,1866.68136755456,2168.9978526305,1399.81929726062,1714.77552818464,1866.68136755456,2012.13247920557,80,0
"422",422,339.70648629023,335.212317341002,573.317567230768,122.039649202806,246.780107896676,335.212317341002,434.736810348882,12,0
"423",423,975.027376960783,1070.28109736495,1427.70850609554,187.034539892939,812.332685288588,1070.28109736495,1215.0980894716,51,0
"424",424,528.932765698203,574.83776992714,835.204156914856,86.7228381276568,404.81579551978,574.83776992714,676.427967676085,32,0
"425",425,2142.22183890697,2175.98824711704,2512.8618716813,1776.90571577908,2056.2060742539,2175.98824711704,2259.39419033168,16,0
"426",426,1368.4534874006,1359.40111535598,1797.43591799316,907.224688820683,1228.4543148745,1359.40111535598,1559.23932448555,42,0
"427",427,785.882276589131,791.266740446018,1009.92251675128,589.215795830242,691.115768578204,791.266740446018,881.256513320148,16,0
"428",428,940.340430791863,945.641068163985,1329.90479624391,552.11571290669,833.935778452509,945.641068163985,1051.56349895716,32,0
"429",429,861.731955853276,878.199401949765,1139.33257678301,567.253605947787,787.613670080317,878.199401949765,945.907227146687,24,0
"430",430,448.551904409317,461.166314247262,882.358517824802,0,319.396382856541,461.166314247262,589.452610044189,64,0
"431",431,596.07754372848,588.444905792885,1314.5177658549,54.0868764258336,380.287156030839,588.444905792885,792.513139337119,89,0
